Book Name,Author,Year,Book ID
‘the india story’,bimal jalal,2022,de89d1f1-78ea-4542-8668-657da2c17658
‘listen to your heart: the london adventure’,ruskin bond,2022,dc959337-f3e6-4a06-9204-c3b8575d4148
‘business of sports: the winning formula for success’,vinit karnik,2022,ab1f9253-fa8a-41df-bc83-36420c6970d8
‘a place called home’,preeti shenoy,2022,0fa0d6a5-77e0-4756-a147-8c45d674dfd5
‘modi @20: dreams meeting delivery’,vp venkaiah naidu,2022,455083f1-75ca-4e0c-b03d-8a2fadf63c6a
'the struggle for police reforms in india',ex-ips prakash singh,2022,61ac63cf-057f-448d-8cbb-6b2f8e733752
‘indo-pak war 1971- reminiscences of air warriors’,rajnath singh,2022,6aba9c2f-fae6-469b-9b1d-c0a0d9dc5ac7
"‘leaders, politicians, citizens’",rasheed kidwai,2022,4cdcfc33-c1b4-4c39-8305-724ecabbdd56
‘birsa munda – janjatiya nayak’,prof. alok chakrawal,2022,a3b4e78b-9497-4d27-8a67-ae53f0970112
lal salam,smriti irani,2022,fd50f496-e344-426f-bcfc-da0b36b9941c
"pride, prejudice and punditry",shashi tharoor,2022,9c9868fb-c305-4a38-bf76-f803a0908ea5
“crunch time: narendra modi’s national security crises”,dr sreeram chauliahas,2022,786fdc80-28fe-451e-a986-94c809d2cb0c
“queen of fire”,devika rangachari,2022,7c1d9ce5-9c53-4296-a906-9d12a43d0a3b
“birsa munda – janjatiya nayak”,dharmendra pradhan,2022,6a8f4c8b-caf8-4483-b725-82dae86af305
“decoding indian babudom”,ashwini shrivastava,2022,4f1e38bd-8902-4a6d-80b7-4ab20b0350fc
‘the maverick effect’,harish mehta,2022,9d3b93c7-8555-4aec-a7b4-a5d989feba53
"“tiger of drass: capt. anuj nayyar, 23, kargil hero”",meena nayyar & himmat singh shekhawat,2022,002e1511-b04c-406a-b01f-c4c95ba633b9
‘hear yourself’,indian author prem rawat,2022,8c9a9b4f-0a52-4a70-b8e3-f4fd5487f51e
‘not just a nightwatchman: my innings with bcci’,former cag vinod rai,2022,6dc6de67-9cbd-44c0-adfd-235c9e61da0d
“the boy who wrote a constitution ”,rajesh talwar,2022,d89577ef-c5d6-4e4d-ada7-83356576dd52
“the magic of mangalajodi” & “my research works on sikh history and philosophy”,avinash khemka & abinash mahapatra,2022,c8180ad6-a912-40cb-be40-cb9c33cb20f5
‘chinese spies: from chairman mao to xi jinping’,roger faligot,2022,44a8e315-bcb2-4a8d-8acb-510912f25caf
'amit shah ani bhajapachi vatchal',dr anirban ganguly and shiwanand dwivedi,2022,11fee5bc-f17d-4cc3-a8e6-919f43ccfc94
‘the millennial yogi: a modern-day parable about reclaiming one’s life’,"former indian army captain, deepam chatterjee",2022,313dddfe-8d5f-4916-a8e4-4fa071e8f77e
‘udaan ek majdoor bachhe ki’,mithilesh tiwari,2022,456d2128-deb4-4fc4-a88c-9e5bb355a6c4
ungalil oruvan (one among you),chief minister mk stalin’s,2022,2c5e88e6-9e68-42c2-a869-1edb8890d782
‘the queen of indian pop: the authorised biography of usha uthup’,vikas kumar jha,2022,d5ca7193-6fe3-4bbb-8416-07d97c3ee52e
‘the blue book: a writer’s journal,amitava kumar,2022,7966f0d6-3ac4-4a77-b426-b68a7f555ce9
‘role of labour in india’s development’,labour minister bhupendra yadav,2022,9dc3672e-be4e-47ae-b722-63c885a681ea
‘soli sorabjee: life and times’,abhinav chandrachud,2022,781bca69-23af-46a7-9a8a-7aca57c94f62
‘the queen of indian pop’,usha uthup,2022,d79175b4-b612-48ce-9f15-8b0b33040faa
‘on board: my years in bcci’,ratnakar shetty’s,2022,bcef0c2b-9d72-4801-badc-986ad1b51c74
'tomb of sand',geetanjali shree’s,2022,211662b1-bc00-47ca-a4b7-961cbd0c9b30
‘monsoon’,sahitya akademi,2022,fd5d65cb-a136-490a-a1ab-3a496d68e157
‘more than just surgery: life lessons beyond the ot’,dr tehemton erach udwadia,2022,1e7c490c-5533-46ed-b56f-2d9697c49488
‘wrist assured: an autobiography’,former cricketer g.r. viswanath,2022,e4cf4e23-a87d-4e11-8018-204bfcf02fad
‘unfilled barrels india’s oil story’,richa mishra,2022,3daea461-a42a-4640-b778-744436f8534a
‘the little book of joy’,dalai lama & desmond tutu,2022,5f7739d7-d9f9-4ea2-983b-929ef39d83da
‘spoorthi pradatha sri somayya’,k syam prasad,2022,b4bb9df3-1885-43bd-abab-a722894d9057
‘fearless governance’,dr. kiran bedi,2022,475e3bb9-994a-446c-90ea-270c8caa7c2d
‘operation khatma’,rc ganjoo and ashwini bhatnagar,2022,3340fff1-feb4-4a0f-92bd-de3e2b1f7a67
"‘india, that is bharat: coloniality, civilisation, constitution’",j sai deepak,2022,a81fd376-4561-499d-a5df-c16177589725
‘golden boy neeraj chopra’,navdeep singh gill,2022,2b39ab00-cb0a-4ce0-9a86-f9909b85839a
‘atal bihari vajpayee’,sagarika ghose,2022,5bfd0816-b33d-4e30-9371-f4cc1f850859
‘india–africa relations: changing horizons’,rajiv bhatia,2022,070f9500-7fb1-4416-9f62-8ee4c3b654ce
‘how to prevent the next pandemic’,bill gates,2022,5a367ad2-cf66-48ef-a4ec-465ad882af49
‘humane: how the united states abandoned peace and reinvented war’,samuel moyn,2022,5a197e1e-adba-476e-a181-e15e031153c1
‘dignity in a digital age: making tech work for all of us’,ro khanna,2022,7589018e-fc20-46f6-b8cf-30fca1e64b15
‘a history of sriniketan: rabindranath tagore’s pioneering work in rural construction’,uma das gupta,2022,107a11f1-4b4c-4bc0-b063-280e4c8b5e0d
‘a nation to protect’,priyam gandhi mody,2022,a09cf6eb-1c8d-43f6-80a9-0986c9b75b8d
‘the founders: the story of paypal and the entrepreneurs who shaped silicon valley’,jimmy soni,2022,321df4d5-530a-4d2d-973b-3d18c5bac3df
‘the great tech game: shaping geopolitics and the destinies of nations’,anirudh suri,2022,d4aaee9d-c2e1-43c9-a71e-b8e0437aa8f1
‘gandhi’s assassin: the making of nathuram godse and his idea of india.,dhirendra k. jha,2022,4f18e765-e32a-4f07-8508-78d26602b29b
‘mamata: beyond 2021’,jayanta ghosal,2022,2a4bd56d-98da-4824-9ce5-37e610da9983
‘ratan n. tata: the authorized biography’,dr. thomas matthew,2022,d3937a84-7496-4cc5-b431-22dc23c5b97a
"‘indomitable: a working woman’s notes on life, work, and leadership’",arundhati bhattacharya,2022,80e5d587-0e44-4ecc-8e25-a467d1fd32c6
‘bose: the untold story of an inconvenient nationalist’,chandrachur ghose,2022,83b7bd61-fe58-40f1-b474-098626007f5b
'the legend of birsa munda',tuhin a sinha and ankita verma,2022,b5d18342-cdcb-4cb6-af7f-8159e47d3127
‘india’s women unsung heroes’,meenakshi lekhi,2022,2a456ba7-68dc-4dbc-8e52-1e85b313fa18
‘a little book of india: celebrating 75 years of independence’,ruskin bond,2022,fb532c42-3d14-4eb9-aea2-dd4cf1507dc3
‘the $10 trillion dream’,subhash chandra garg,2022,6c4a6280-a147-4edd-ad5a-c07b87ef1cc7
‘the ambuja story: how a group of ordinary men created an extraordinary company’,narotam sekhsaria,2021,c7bdc06b-2a11-4151-8e84-6845b14e980c
‘1971: charge of the gorkhas and other stories’,rachna bisht rawat,2021,434ce85e-3c09-4964-8124-f0440dafb4b1
vahana masterclass,alfredo covelli,2021,895d026b-cc3c-478c-b48f-2213b8c48869
india’s 71-year test: the journey to triumph in australia,r. kaushik,2021,d1eda5f6-16ac-4551-a5ff-725aaa55ae1c
right under our nose,r. giridharan,2021,018b992d-5aef-4a4b-8db8-262e03de6ec7
making of a general-a himalayan echo,lt. gen. konsam himalay singh,2021,be45e5c6-6ca0-435f-9545-1efa66bdfc8c
the commonwealth of cricket,ramachandra guha,2021,64cc684b-b7e7-4eec-8c61-9e8385243e88
manohar parrikar-off the record,waman subha prabhu,2021,a26d09c8-1ce3-481b-b803-d00662f08301
the little book of encouragement,dalai lama,2021,76cae9f4-e45e-4a9b-8eed-8c611bc70f84
beautiful things’ a memoir,hunter biden,2021,69a448a5-7568-4de7-a7a6-952ef8e578b2
by many a happy accident: recollections of a life,former vice president mohammad hamid ansari,2021,dfe0cfaa-00b8-4ab4-a782-4513d09e0c89
platform scale: for a post-pandemic world,sangeet paul choudary,2021,1f12ceb7-beab-45b6-93fa-12ed6a26b74e
unfinished,priyanka chopra jonas,2021,d495abac-0269-4237-87dc-3249721bd657
"the terrible, horrible, very bad good news",meghna pant,2021,bc1ec23f-fcbb-4611-ac80-b0b0a7a11ec7
asoca: a sutra,irwin allan sealy,2021,13c54014-de5a-45a3-8e15-e6c76bc30e88
maverick messiah: a political biography of n t rama rao,ramesh kandula,2021,1062f865-4dc8-4c7d-9089-22e1e4d176f3
rashtra pratham - 82 varshon ki swarnim gatha,amit shah,2021,27f96248-e952-4863-bdbf-a58faea98e75
stories i must tell: the journey of an actor,kabir bedi,2021,62ad17d1-a61c-4bed-a5ec-96edadeb8c05
advantage india: the story of indian tennis,anindya dutta,2021,11231961-5159-45ee-99c5-d09d53aecdbc
dynasty to democracy: the untold story of smriti irani’s triumph,anant vijay,2021,6db23dbd-dabd-4891-91f2-1449437fffa1
battle ready for 21st century,lt gen ak singh and brig. narendra kumar,2021,13596973-5c8e-4951-952b-7f3ab99c75bf
my experiments with silence,samir soni,2021,7df2c876-93e1-4039-989d-80800a38d878
names of the women,jeet thayil,2021,6acc6b3f-2bfe-45cf-baf5-68ed0ae1fc76
suparipalana,dr. shailendra joshi,2021,b14148f6-04cc-4965-b462-c9dac7d57ccd
"manohar parrikar: brilliant mind, simple life",nitin gokhale,2021,029966fb-b811-4dc9-8271-f2decd2b498f
odisha itihaas,utkal keshari harekrushna mahtab,2021,efb0767e-08c4-4b2a-834a-be03277ce2b3
the braille edition of the book exam warriors,pm narendra modi,2021,eb860ff8-191f-4fd4-b207-bd8be3689ba5
believe-what life and cricket taught me,suresh raina,2021,23ddedaa-b821-4263-8f70-eea6ccd7de1c
the christmas pig,jk rowling,2021,09d83ae6-a27b-4466-bd31-0b138bfbf8d3
whereabouts,jhumpa lahiri,2021,ff23203d-a104-4b5b-9518-f1a05b4a1af1
the living mountain: a fable for our times,amitav ghosh,2021,f2b09b3b-562a-41f7-8913-69b5ee20b071
climate change explained—for one and all,aakash ranison,2021,181b9e13-b4e0-4a84-bc11-7483bcf96ff2
the bench,meghan markle,2021,135dca93-4997-4053-86da-5a69a41802fe
elephant in the womb,kalki koechlin,2021,50146920-0ad2-4a1e-8a1a-026f4af198df
life in the clock tower valley,shakoor rather,2021,fdaf9ceb-47ea-41eb-9e26-9d07f18fcee2
sikkim: a history of intrigue and alliance,preet mohan singh malik,2021,1888ce1e-da54-4375-9e0d-ec37db0661da
"nehru, tibet and china",avtar singh bhasin,2021,94e1f62f-229e-4414-80ec-4fb5945954e2
"india and asian geopolitics: the past, present",shivshankar menon,2021,c77f895b-8560-4c2e-b584-9f39c528885b
sach kahun toh,neena gupta,2021,68b8dfb9-59ca-4044-84c8-eac9b69720a5
stargazing: the players in my life,ravi shastri,2021,913c5462-3387-40be-81e6-8457ed6cdc5d
languages of truth: essays 2003-2020,salman rushdie,2021,49293fec-96da-4389-a06c-5f0e0c224d1a
savarkar: a contested legacy (1924-1966),vikram sampath,2021,bb82595f-2200-4468-b992-012932bdf516
7 lessons from everest - expedition learnings from life and business,aditya gupta,2021,274ec2c1-c079-4903-b785-f50054bf1a99
1232km: the long journey home,vinod kapri,2021,ebb2747c-512e-43cf-b316-2d2b3f6cbbaf
home in the world,amartya sen,2021,d3d84dd1-2a71-4a2b-aa0c-0147d2141d19
the nutmeg’s curse: parables for a planet in crisis,amitav ghosh,2021,1393fbd3-95a7-4408-89c0-0f5eaaba64cd
beyond here and other poems,bishnupada sethi,2021,b72317cf-148c-46e1-9884-ea025b0235e9
the 7 sins of being a mother,tahira kashyap khurrana,2021,3da1c787-e386-4389-925f-90c93bb6c3d4
habba khatoon,kajal suri,2021,117c2fe5-a19c-48d6-8c2f-61a9b2285644
will,will smith and mark manson,2021,95edaaf2-97c3-4219-8e50-f61448c9629c
my joys and sorrows- as a mother of a special child,krishna saksena,2021,4c96b660-3060-45e3-995f-6fcd15959c54
it’s a wonderful life,ruskin bond,2021,53dbb474-d916-43ff-9a01-ff87034c5f8e
fiercely female: the dutee chand story,sundeep mishra,2021,223f4b1f-3a94-452c-880c-5c002486d01b
policymaker’s journal: from new delhi to washington dc,kaushik basu,2021,21796c46-463b-4c60-a817-c0e36683a3a9
kashmiri century: portrait of a society in flux,khemlata wakhlu,2021,75ac40a8-7678-4c62-ac6b-97d890c51c0c
lady doctors: the untold stories of india’s first women in medicine,kavitha rao,2021,473f0deb-4fa4-4d0c-92a9-1ce387944570
the pregnancy bible,kareena kapoor,2021,0528b50e-1362-4817-beaa-4fbb6c7da636
the art of conjuring alternate realities: how information warfare shapes your world,shivam shankar singh and anand venkatanarayanan,2021,7e87075b-c1e4-4d71-b4ca-620f36bfe4f7
the great big lion,chryseis knight,2021,ebd1c4c5-f313-4328-b443-8d80feabce8a
the india story,bimal jalan,2021,27d63b62-1ba6-4f57-9c80-2b05d87a73c5
